"","name","FGA","FGM","Pts","exFGM","exPts","FGMDiff","PtsDiff"
"118","Thaddeus Young",949,446,929,455.619173330907,954.267548316742,-9.61917333090656,-25.267548316742
"119","Evan Fournier",572,253,591,262.589994871999,604.813750904903,-9.58999487199935,-13.8137509049031
"120","Drew Gooden",273,110,243,119.300521620443,259.970288508903,-9.30052162044281,-16.9702885089029
"121","Larry Sanders",170,86,172,95.2382818338656,190.476563667731,-9.23828183386564,-18.4765636677313
"122","Anthony Bennett",296,124,255,133.118363173843,274.592548853347,-9.11836317384325,-19.5925488533472
"123","Jon Leuer",273,121,249,130.039091394006,271.10743279924,-9.03909139400568,-22.1074327992398
"124","Zach LaVine",667,284,625,292.993576073125,642.058999143887,-8.99357607312504,-17.0589991438869
"125","Brandon Davies",137,55,118,63.8304350862298,140.829370892477,-8.83043508622985,-22.8293708924769
"126","Joffrey Lauvergne",89,36,75,44.4983564519586,95.034196244247,-8.49835645195857,-20.034196244247
"127","Jason Thompson",426,200,400,208.45068181368,417.712628792004,-8.45068181367978,-17.7126287920043
"128","Jeff Taylor",114,45,101,53.2995905714132,120.068631683282,-8.2995905714132,-19.0686316832824
"129","Shelvin Mack",291,117,274,125.286974129276,295.513377604668,-8.28697412927578,-21.5133776046677
"130","Andre Roberson",200,92,205,100.184968591607,232.128538576946,-8.18496859160702,-27.1285385769462
"131","Nick Johnson",75,26,57,34.0641655792135,75.1504769926933,-8.06416557921354,-18.1504769926933
"132","Darrell Arthur",381,154,334,162.030706435883,363.975246523544,-8.03070643588308,-29.9752465235439
"133","Jason Richardson",175,61,152,69.0273163858397,170.588099165476,-8.02731638583968,-18.5880991654757
"134","Shavlik Randolph",35,9,18,16.8709362879723,35.7585893589831,-7.87093628797226,-17.7585893589831
"135","Isaiah Thomas",786,333,795,340.73924636894,799.330192357731,-7.73924636893958,-4.33019235773122
"136","Samuel Dalembert",130,57,114,64.7240249012651,129.44804980253,-7.72402490126514,-15.4480498025303
"137","Francisco Garcia",63,17,44,24.5567265159116,64.7247894276933,-7.55672651591161,-20.7247894276933
"138","Michael Kidd-Gilchrist",478,223,446,230.51123095491,461.022461909819,-7.51123095490968,-15.0224619098194
"139","Shabazz Napier",228,87,217,94.4536852561116,230.797921756333,-7.45368525611164,-13.7979217563334
"140","Iman Shumpert",470,193,453,200.445423091838,472.366540850275,-7.44542309183805,-19.3665408502751
"141","Aaron Gordon",206,92,197,99.3838110765841,217.463897614895,-7.38381107658414,-20.4638976148945
"142","Noah Vonleh",75,29,63,36.326144385086,77.2745083353369,-7.32614438508596,-14.2745083353369
"143","Kent Bazemore",328,140,327,147.281949313059,343.029355715509,-7.28194931305887,-16.0293557155095
"144","Donald Sloan",354,145,331,152.213296824278,349.81361905104,-7.21329682427759,-18.8136190510396
"145","Sebastian Telfair",122,44,104,51.1721489083968,122.196529187231,-7.17214890839679,-18.1965291872312
"146","Nate Wolters",57,20,40,27.00686941081,56.5958364355418,-7.00686941081001,-16.5958364355418
"147","Robert Covington",741,293,750,299.875927577858,748.096903864986,-6.87592757785757,1.90309613501427
"148","Alex Len",345,176,353,182.818912145637,366.473364374483,-6.81891214563723,-13.4733643744829
"149","Jimmy Butler",910,420,913,426.806698522052,922.666018390188,-6.80669852205165,-9.66601839018836
"150","Paul Millsap",921,438,952,444.779723688737,969.536983824993,-6.77972368873668,-17.5369838249926
"151","Patty Mills",336,128,318,134.5768492797,335.394008671511,-6.57684927969959,-17.3940086715106
